"","Date","Open*","High","Low","Close**","Volume","Market Cap"
"377","Jun 03, 2018",7632.09,7754.89,7613.04,7720.25,"4,851,760,128","131,808,021,256"
"378","Jun 02, 2018",7536.72,7695.83,7497.26,7643.45,"4,939,299,840","130,481,526,036"
"379","Jun 01, 2018",7500.7,7604.73,7407.34,7541.45,"4,921,460,224","128,725,854,692"
"380","May 31, 2018",7406.15,7608.9,7361.13,7494.17,"5,127,130,112","127,902,999,390"
"381","May 30, 2018",7469.73,7573.77,7313.6,7406.52,"4,922,540,032","126,391,893,474"
"382","May 29, 2018",7129.46,7526.42,7090.68,7472.59,"5,662,660,096","127,502,651,064"
"383","May 28, 2018",7371.31,7419.05,7100.89,7135.99,"5,040,600,064","121,747,389,422"
"384","May 27, 2018",7362.08,7381.74,7270.96,7368.22,"4,056,519,936","125,695,017,596"
"385","May 26, 2018",7486.48,7595.16,7349.12,7355.88,"4,051,539,968","125,469,061,263"
"386","May 25, 2018",7592.3,7659.14,7392.65,7480.14,"4,867,829,760","127,573,690,458"
"387","May 24, 2018",7561.12,7738.6,7331.14,7587.34,"6,049,220,096","129,385,391,552"
"388","May 23, 2018",8037.08,8054.66,7507.88,7557.82,"6,491,120,128","128,868,479,514"
"389","May 22, 2018",8419.87,8423.25,8004.58,8041.78,"5,137,010,176","137,104,106,176"
"390","May 21, 2018",8522.33,8557.52,8365.12,8418.99,"5,154,990,080","143,518,943,480"
"391","May 20, 2018",8246.99,8562.41,8205.24,8513.25,"5,191,059,968","145,109,512,565"
"392","May 19, 2018",8255.73,8372.06,8183.35,8247.18,"4,712,399,872","140,559,162,894"
"393","May 18, 2018",8091.83,8274.12,7974.82,8250.97,"5,764,190,208","140,607,667,610"
"394","May 17, 2018",8370.05,8445.54,8054.12,8094.32,"5,862,530,048","137,923,772,714"
"395","May 16, 2018",8504.41,8508.43,8175.49,8368.83,"6,760,220,160","142,587,497,878"
"396","May 15, 2018",8705.19,8836.19,8456.45,8510.38,"6,705,710,080","144,979,744,412"
"397","May 14, 2018",8713.1,8881.12,8367.97,8716.79,"7,364,149,760","148,480,275,422"
"398","May 13, 2018",8515.49,8773.55,8395.12,8723.94,"5,866,379,776","148,587,777,457"
"399","May 12, 2018",8441.44,8664.86,8223.5,8504.89,"6,821,380,096","144,841,040,789"
"400","May 11, 2018",9052.96,9052.96,8394.46,8441.49,"8,488,520,192","143,743,802,092"
"401","May 10, 2018",9325.96,9396.04,9040.52,9043.94,"6,906,699,776","153,988,453,198"
"402","May 09, 2018",9223.73,9374.76,9031.62,9325.18,"7,226,890,240","158,758,858,205"
"403","May 08, 2018",9380.87,9462.75,9127.77,9234.82,"7,415,869,952","157,202,142,973"
"404","May 07, 2018",9645.67,9665.85,9231.53,9373.01,"7,394,019,840","159,538,115,686"
"405","May 06, 2018",9845.31,9940.14,9465.25,9654.8,"7,222,280,192","164,316,605,278"
"406","May 05, 2018",9700.28,9964.5,9695.12,9858.15,"7,651,939,840","167,759,953,654"
"407","May 04, 2018",9695.5,9779.2,9585.96,9700.76,"8,217,829,888","165,062,796,742"
"408","May 03, 2018",9233.97,9798.33,9188.15,9743.86,"10,207,299,584","165,778,380,092"
"409","May 02, 2018",9104.6,9256.52,9015.14,9235.92,"7,558,159,872","157,119,854,754"
"410","May 01, 2018",9251.47,9255.88,8891.05,9119.01,"7,713,019,904","155,114,132,125"
"411","Apr 30, 2018",9426.11,9477.14,9166.81,9240.55,"8,673,920,000","157,163,847,314"
"412","Apr 29, 2018",9346.41,9531.49,9193.71,9419.08,"8,853,000,192","160,182,287,342"
"413","Apr 28, 2018",8939.27,9412.09,8931.99,9348.48,"7,805,479,936","158,963,068,374"
"414","Apr 27, 2018",9290.63,9375.47,8987.05,8987.05,"7,566,289,920","152,802,874,822"
"415","Apr 26, 2018",8867.32,9281.51,8727.09,9281.51,"8,970,559,488","157,793,327,246"
"416","Apr 25, 2018",9701.03,9745.32,8799.84,8845.74,"11,083,100,160","150,369,282,696"
"417","Apr 24, 2018",8934.34,9732.61,8927.83,9697.5,"10,678,800,384","164,833,256,250"
"418","Apr 23, 2018",8794.39,8958.55,8788.81,8930.88,"6,925,190,144","151,784,994,312"
"419","Apr 22, 2018",8925.06,9001.64,8779.61,8802.46,"6,629,899,776","149,585,589,886"
"420","Apr 21, 2018",8848.79,8997.57,8652.15,8895.58,"7,548,550,144","151,150,137,128"
"421","Apr 20, 2018",8286.88,8880.23,8244.54,8845.83,"8,438,110,208","150,287,113,368"
"422","Apr 19, 2018",8159.27,8298.69,8138.78,8294.31,"7,063,209,984","140,902,801,023"
"423","Apr 18, 2018",7944.43,8197.8,7886.01,8163.42,"6,529,909,760","138,661,092,884"
"424","Apr 17, 2018",8071.66,8285.96,7881.72,7902.09,"6,900,879,872","134,206,623,206"
"425","Apr 16, 2018",8337.57,8371.15,7925.73,8058.67,"5,631,309,824","136,849,408,643"
"426","Apr 15, 2018",7999.33,8338.42,7999.33,8329.11,"5,244,480,000","141,427,138,383"
"427","Apr 14, 2018",7874.67,8140.71,7846,7986.24,"5,191,430,144","135,589,384,440"
"428","Apr 13, 2018",7901.09,8183.96,7758.93,7895.96,"7,764,460,032","134,043,001,354"
"429","Apr 12, 2018",6955.38,7899.23,6806.51,7889.25,"8,906,250,240","133,912,618,634"
"430","Apr 11, 2018",6843.47,6968.32,6817.59,6968.32,"4,641,889,792","118,267,198,080"
"431","Apr 10, 2018",6795.44,6872.41,6704.15,6834.76,"4,272,750,080","115,978,358,964"
"432","Apr 09, 2018",7044.32,7178.11,6661.99,6770.73,"4,894,060,032","114,886,335,694"
"433","Apr 08, 2018",6919.98,7111.56,6919.98,7023.52,"3,652,499,968","119,162,880,482"
"434","Apr 07, 2018",6630.51,7050.54,6630.51,6911.09,"3,976,610,048","117,241,368,688"
"435","Apr 06, 2018",6815.96,6857.49,6575,6636.32,"3,766,810,112","112,565,173,568"
"436","Apr 05, 2018",6848.65,6933.82,6644.8,6811.47,"5,639,320,064","115,524,404,354"
"437","Apr 04, 2018",7456.41,7469.88,6803.88,6853.84,"4,936,000,000","116,229,557,118"
"438","Apr 03, 2018",7102.26,7530.94,7072.49,7456.11,"5,499,700,224","126,429,245,883"
"439","Apr 02, 2018",6844.86,7135.47,6816.58,7083.8,"4,333,440,000","120,101,932,910"
"440","Apr 01, 2018",7003.06,7060.95,6526.87,6844.23,"4,532,100,096","116,026,809,075"
"441","Mar 31, 2018",6892.48,7207.85,6863.52,6973.53,"4,553,269,760","118,204,645,927"
"442","Mar 30, 2018",7171.45,7276.66,6683.93,6890.52,"6,289,509,888","116,786,562,165"
"443","Mar 29, 2018",7979.07,7994.33,7081.38,7165.7,"6,361,229,824","121,436,043,045"
"444","Mar 28, 2018",7836.83,8122.89,7809.17,7954.48,"4,935,289,856","134,788,265,876"
"445","Mar 27, 2018",8200,8232.78,7797.28,7833.04,"5,378,250,240","132,717,053,150"
"446","Mar 26, 2018",8498.47,8530.08,7921.43,8209.4,"5,921,039,872","139,078,211,968"
"447","Mar 25, 2018",8612.81,8682.01,8449.1,8495.78,"4,569,880,064","143,914,265,310"
"448","Mar 24, 2018",8901.95,8996.18,8665.7,8668.12,"5,664,600,064","146,818,882,936"
"449","Mar 23, 2018",8736.25,8879.62,8360.62,8879.62,"5,954,120,192","150,383,574,951"
"450","Mar 22, 2018",8939.44,9100.71,8564.9,8728.47,"5,530,390,016","147,809,220,250"
"451","Mar 21, 2018",8937.48,9177.37,8846.33,8929.28,"6,043,129,856","151,193,917,440"
"452","Mar 20, 2018",8619.67,9051.02,8389.89,8913.47,"6,361,789,952","150,909,503,835"
"453","Mar 19, 2018",8344.12,8675.87,8182.4,8630.65,"6,729,110,016","146,107,514,353"
"454","Mar 18, 2018",7890.52,8245.51,7397.99,8223.68,"6,639,190,016","139,201,713,268"
"455","Mar 17, 2018",8321.91,8346.53,7812.82,7916.88,"4,426,149,888","133,993,486,925"
"456","Mar 16, 2018",8322.91,8585.15,8005.31,8338.35,"5,289,379,840","141,111,773,179"
"457","Mar 15, 2018",8290.76,8428.35,7783.05,8300.86,"6,834,429,952","140,460,819,364"
"458","Mar 14, 2018",9214.65,9355.85,8068.59,8269.81,"6,438,230,016","139,920,843,550"
"459","Mar 13, 2018",9173.04,9470.38,8958.19,9194.85,"5,991,139,840","155,555,594,312"
"460","Mar 12, 2018",9602.93,9937.5,8956.43,9205.12,"6,457,399,808","155,710,928,717"
"461","Mar 11, 2018",8852.78,9711.89,8607.12,9578.63,"6,296,370,176","162,009,710,243"
"462","Mar 10, 2018",9350.59,9531.32,8828.47,8866,"5,386,319,872","149,939,797,150"
"463","Mar 09, 2018",9414.69,9466.35,8513.03,9337.55,"8,704,190,464","157,898,203,939"
"464","Mar 08, 2018",9951.44,10147.4,9335.87,9395.01,"7,186,089,984","158,852,238,332"
"465","Mar 07, 2018",10803.9,10929.5,9692.12,9965.57,"8,797,910,016","168,479,670,395"
