"","open","high","low","close","volume","adjusted_close"
"2012-01-02",119.519997,119.589996,118.970001,119.519997,0,119.519997
"2012-01-03",119.389999,119.910004,119.239998,119.370003,0,119.370003
"2012-01-04",120.040001,120.049004,119.579002,120.010002,0,120.010002
"2012-01-05",119.719002,119.917,119.162003,119.703003,0,119.703003
"2012-01-06",119.581001,119.730003,118.542,119.57,0,119.57
"2012-01-09",118.585999,118.849998,118.474998,118.571999,0,118.571999
"2012-01-10",118.817001,119.028999,118.714996,118.790001,0,118.790001
"2012-01-11",118.889999,119.080002,118.095001,118.889999,0,118.889999
"2012-01-12",117.858002,118.080002,117.508003,117.870003,0,117.870003
"2012-01-13",117.769997,118.132004,117.316002,117.779999,0,117.779999
"2012-01-16",117.667999,117.735001,117.389,117.650002,0,117.650002
"2012-01-17",117.68,118.255997,117.625999,117.68,0,117.68
"2012-01-18",117.800003,118.569,117.529999,117.814003,0,117.814003
"2012-01-19",118.485001,119.334999,118.300003,118.457001,0,118.457001
"2012-01-20",119.311996,119.900002,119.172997,119.328003,0,119.328003
"2012-01-23",119.620003,120.193001,119.456001,119.610001,0,119.610001
"2012-01-24",119.920998,121.260002,119.627998,119.896004,0,119.896004
"2012-01-25",121.357002,122.026001,121.237,121.347,0,121.347
"2012-01-26",121.773003,121.856003,121.329002,121.757004,0,121.757004
"2012-01-27",121.415001,121.449997,120.029999,121.436996,0,121.436996
"2012-01-30",120.629997,120.675003,119.639999,120.629997,0,120.629997
"2012-01-31",119.940002,120.599998,119.760002,119.910004,0,119.910004
"2012-02-01",119.940002,120.599998,119.760002,120.18,0,120.18
"2012-02-02",120.690002,120.730003,120.273003,120.714996,0,120.714996
"2012-02-03",120.376999,121.100998,120.257004,120.349998,0,120.349998
"2012-02-06",120.940002,121.141998,120.460999,120.939003,0,120.939003
"2012-02-07",121.027,122,120.987,121.050003,0,121.050003
"2012-02-08",122.010002,122.800003,121.578003,121.988998,0,121.988998
"2012-02-09",121.839996,122.654999,121.734001,121.839996,0,121.839996
"2012-02-10",122.786003,123.130997,122.190002,122.723999,0,122.723999
"2012-02-13",122.595001,122.919998,122.154999,122.589996,0,122.589996
"2012-02-14",121.839996,123.030998,121.811996,121.849998,0,121.849998
"2012-02-15",122.989998,123.5,122.582001,122.984001,0,122.984001
"2012-02-16",123.112,124.207001,122.792999,123.115997,0,123.115997
"2012-02-17",124.584999,125.652,124.57,124.571999,0,124.571999
"2012-02-20",126.574997,126.574997,125.765999,126.582001,0,126.582001
"2012-02-21",126.019997,126.629997,125.639999,125.959999,0,125.959999
"2012-02-22",126.045998,126.536003,125.574997,126.040001,0,126.040001
"2012-02-23",125.749001,126.195,125.441002,125.720001,0,125.720001
"2012-02-24",125.827003,128.179993,125.827003,125.830002,0,125.830002
"2012-02-27",129.399994,129.399994,126.956001,129.429993,0,129.429993
"2012-02-28",127.370003,128.199997,126.708,127.376999,0,127.376999
"2012-02-29",128.100006,128.942993,127.806999,128.130005,0,128.130005
"2012-03-01",129.380005,129.542007,128.772995,129.388,0,129.388
"2012-03-02",129.399994,130.059998,129.203003,129.429993,0,129.429993
"2012-03-05",129.154007,129.380005,128.201004,129.209,0,129.209
"2012-03-06",129.416,129.479996,127.029999,129.403,0,129.403
"2012-03-07",126.739998,127.337997,126.629997,126.790001,0,126.790001
"2012-03-08",127.906998,129.167007,127.679001,127.917999,0,127.917999
"2012-03-09",129.080002,129.699997,128.649994,129.089996,0,129.089996
"2012-03-12",128.996994,129.188995,128.160004,129.024994,0,129.024994
"2012-03-13",128.884003,130.151993,128.261002,128.869995,0,128.869995
"2012-03-14",130.270996,131.429993,130.119995,130.259995,0,130.259995
"2012-03-15",131.188995,131.669998,130.197006,131.199997,0,131.199997
"2012-03-16",131.093994,132.401993,130.899994,131.091003,0,131.091003
"2012-03-19",132.153,132.496994,131.440002,132.130005,0,132.130005
"2012-03-20",132.440002,132.977005,132.255005,132.440002,0,132.440002
