"","open","high","low","close","volume","adjusted_close"
"X2014.01.29",570,580.219971,554,565.090027,230487,565.090027
"X2014.01.30",565.090027,576.369995,550,561.97998,169063,561.97998
"X2014.01.31",561.97998,577,559.01001,577,142927,577
"X2014.02.01",577,584,560.01001,574.549988,128636,574.549988
"X2014.02.02",574.549988,583,574.549988,579.900024,101985,579.900024
"X2014.02.03",579.900024,584.97998,564.900024,575,145653,575
"X2014.02.04",575,577.390015,546.119995,577.299988,191138,577.299988
"X2014.02.05",577.299988,578.109985,550,557.099976,114911,557.099976
"X2014.02.06",557.099976,557.119995,495,517.169983,338923,517.169983
"X2014.02.07",517.169983,510.100006,402,431.049988,608647,431.049988
"X2014.02.08",431.049988,450.420013,395,413.720001,218898,413.720001
"X2014.02.09",413.720001,430.660004,390,419.410004,174328,419.410004
"X2014.02.10",419.410004,437.519989,307.200012,365,356992,365
"X2014.02.11",365,375,342,360,153803,360
"X2014.02.12",360,358,315,333.299988,187075,333.299988
"X2014.02.13",333.299988,331,274,278,288855,278
"X2014.02.14",278,297,187.789993,259.190002,553655,259.190002
"X2014.02.15",259.190002,261.779999,191,220,246008,220
"X2014.02.16",220,315,133.759995,175.169998,289720,175.169998
"X2014.02.17",175.169998,244,162.100006,171.770004,304472,171.770004
"X2014.02.18",171.770004,215.270004,151,180.050003,214245,180.050003
"X2014.02.19",180.050003,183.809998,157.199997,162.410004,189155,162.410004
"X2014.02.20",162.410004,163,65.440002,68.720001,392307,68.720001
"X2014.02.21",68.720001,94.550003,57,68.849998,182458,68.849998
"X2014.02.22",68.849998,171.800003,59.110001,157.380005,242420,157.380005
"X2014.02.23",157.380005,210,131.25,187.179993,193503,187.179993
"X2014.02.24",187.179993,186.809998,81.610001,105.110001,226544,105.110001
"X2014.02.25",105.110001,100.400002,63,81.82,188529,81.82
"X2014.02.26",350.339996,579,316.73999,383.100006,130224,383.100006
"X2014.02.27",383.100006,503.829987,206.960007,361.119995,120861,361.119995
"X2014.02.28",350,1142.680054,305,357.459991,144436,357.459991
"X2014.03.01",357.459991,553.26001,323.019989,381,88561,381
"X2014.03.02",381,569,320.48999,353,84967,353
"X2014.03.03",353,1000,303.839996,409.570007,173612,409.570007
"X2014.03.04",409.570007,1000,326.420013,391.01001,230399,391.01001
"X2014.03.05",391.01001,495.660004,380,416.940002,112798,416.940002
"X2014.03.06",416.940002,510.890015,354.709991,408,94097,408
"X2014.03.07",408,480.820007,292.929993,395,100779,395
"X2014.03.08",395,510,350,392.529999,56157,392.529999
"X2014.03.09",392.529999,465.119995,345.769989,397.200012,76435,397.200012
"X2014.03.10",397.200012,662,360,391.549988,101797,391.549988
"X2014.03.11",395,484.040009,355.940002,392.899994,90971,392.899994
"X2014.03.12",397,478.109985,342.149994,393.600006,113351,393.600006
"X2014.03.13",393.600006,1142.680054,372,399.100006,100963,399.100006
"X2014.03.14",399.100006,590,308.850006,394.48999,92380,394.48999
"X2014.03.15",394.48999,473.200012,359.200012,400,52474,400
"X2014.03.16",400,477.98999,359,391.26001,61606,391.26001
"X2014.03.17",391.98999,1142.680054,360.339996,371.309998,114053,371.309998
"X2014.03.18",387,539.049988,356.869995,389.769989,88240,389.769989
"X2014.03.19",389.769989,1000,275,375.390015,85304,375.390015
"X2014.03.20",379.75,499.630005,339.630005,339.630005,79549,339.630005
"X2014.03.21",339.630005,540,331.589996,481.350006,89711,481.350006
"X2014.03.22",481.350006,483.75,326.970001,353.190002,57399,353.190002
"X2014.03.23",353.190002,438.98999,330,343,54063,343
"X2014.03.24",343,600,325,370.480011,72604,370.480011
"X2014.03.25",370.480011,610,336.109985,350.899994,89544,350.899994
"X2014.03.26",350.899994,612,340.450012,375,75072,375
"X2014.03.27",375,472.660004,309,332.299988,98409,332.299988
"X2014.03.28",332.299988,1000,295,334,114942,334
"X2014.03.29",334,527,291,319.190002,51147,319.190002
"X2014.03.30",319.190002,434.420013,268,307,71442,307
"X2014.03.30.1",307,480,249.679993,314.450012,110586,314.450012
"X2014.03.31",314.450012,606.320007,285,308.799988,98252,308.799988
"X2014.04.01",308.799988,428,261.709991,293,96412,293
"X2014.04.02",293,430,236.25,263.589996,129373,263.589996
"X2014.04.03",263.589996,342.779999,250,284.230011,87357,284.230011
"X2014.04.04",284.230011,474,257,267,63726,267
"X2014.04.05",267,500,265,278.5,40463,278.5
"X2014.04.06",278.5,476,264.200012,294.399994,104531,294.399994
"X2014.04.07",294.399994,550,247.190002,287.089996,74462,287.089996
"X2014.04.08",287.089996,458.929993,156.050003,277.429993,78388,277.429993
"X2014.04.09",277.429993,435.670013,222.770004,240.410004,98506,240.410004
"X2014.04.10",240.410004,322.579987,210.960007,279.25,71936,279.25
"X2014.04.11",279.25,550,240.190002,247,35823,247
