,X1,X2,X3,X4,X5,X6
80,Tuesday  2 April 2019,OIL/GBP,47.6084,OIL GBP rate for Tuesday  2 April 2019,NA,NA
81,Monday  1 April 2019,OIL/GBP,47.1793,OIL GBP rate for Monday  1 April 2019,NA,NA
82,Sunday 31 March 2019,OIL/GBP,46.3523,OIL GBP rate for Sunday 31 March 2019,NA,NA
83,Saturday 30 March 2019,OIL/GBP,46.1553,OIL GBP rate for Saturday 30 March 2019,NA,NA
84,Friday 29 March 2019,OIL/GBP,46.1592,OIL GBP rate for Friday 29 March 2019,NA,NA
85,Thursday 28 March 2019,OIL/GBP,45.6005,OIL GBP rate for Thursday 28 March 2019,NA,NA
86,Wednesday 27 March 2019,OIL/GBP,45.1379,OIL GBP rate for Wednesday 27 March 2019,NA,NA
87,Tuesday 26 March 2019,OIL/GBP,45.3118,OIL GBP rate for Tuesday 26 March 2019,NA,NA
88,Monday 25 March 2019,OIL/GBP,44.7931,OIL GBP rate for Monday 25 March 2019,NA,NA
89,Sunday 24 March 2019,OIL/GBP,44.5194,OIL GBP rate for Sunday 24 March 2019,NA,NA
90,Saturday 23 March 2019,OIL/GBP,44.6333,OIL GBP rate for Saturday 23 March 2019,NA,NA
91,Friday 22 March 2019,OIL/GBP,44.6231,OIL GBP rate for Friday 22 March 2019,NA,NA
92,Thursday 21 March 2019,OIL/GBP,45.6373,OIL GBP rate for Thursday 21 March 2019,NA,NA
93,Wednesday 20 March 2019,OIL/GBP,45.5244,OIL GBP rate for Wednesday 20 March 2019,NA,NA
94,Tuesday 19 March 2019,OIL/GBP,44.6333,OIL GBP rate for Tuesday 19 March 2019,NA,NA
95,Monday 18 March 2019,OIL/GBP,44.7699,OIL GBP rate for Monday 18 March 2019,NA,NA
96,Sunday 17 March 2019,OIL/GBP,44.1843,OIL GBP rate for Sunday 17 March 2019,NA,NA
97,Saturday 16 March 2019,OIL/GBP,44.0959,OIL GBP rate for Saturday 16 March 2019,NA,NA
98,Friday 15 March 2019,OIL/GBP,44.0959,OIL GBP rate for Friday 15 March 2019,NA,NA
99,Thursday 14 March 2019,OIL/GBP,44.154,OIL GBP rate for Thursday 14 March 2019,NA,NA
100,Wednesday 13 March 2019,OIL/GBP,43.9102,OIL GBP rate for Wednesday 13 March 2019,NA,NA
101,Tuesday 12 March 2019,OIL/GBP,43.7653,OIL GBP rate for Tuesday 12 March 2019,NA,NA
102,Monday 11 March 2019,OIL/GBP,43.019,OIL GBP rate for Monday 11 March 2019,NA,NA
