,X1,X2,X3,X4,X5,X6
80,Wednesday  3 April 2019,XAU/GBP,979.86855,XAU GBP rate for Wednesday  3 April 2019,NA,NA
81,Tuesday  2 April 2019,XAU/GBP,984.31644,XAU GBP rate for Tuesday  2 April 2019,NA,NA
82,Monday  1 April 2019,XAU/GBP,984.78906,XAU GBP rate for Monday  1 April 2019,NA,NA
83,Sunday 31 March 2019,XAU/GBP,992.53161,XAU GBP rate for Sunday 31 March 2019,NA,NA
84,Saturday 30 March 2019,XAU/GBP,991.64742,XAU GBP rate for Saturday 30 March 2019,NA,NA
85,Friday 29 March 2019,XAU/GBP,991.64742,XAU GBP rate for Friday 29 March 2019,NA,NA
86,Thursday 28 March 2019,XAU/GBP,989.47429,XAU GBP rate for Thursday 28 March 2019,NA,NA
87,Wednesday 27 March 2019,XAU/GBP,995.57063,XAU GBP rate for Wednesday 27 March 2019,NA,NA
88,Tuesday 26 March 2019,XAU/GBP,996.65395,XAU GBP rate for Tuesday 26 March 2019,NA,NA
89,Monday 25 March 2019,XAU/GBP,1000.15137,XAU GBP rate for Monday 25 March 2019,NA,NA
90,Sunday 24 March 2019,XAU/GBP,993.20001,XAU GBP rate for Sunday 24 March 2019,NA,NA
91,Saturday 23 March 2019,XAU/GBP,994.09952,XAU GBP rate for Saturday 23 March 2019,NA,NA
92,Friday 22 March 2019,XAU/GBP,994.09952,XAU GBP rate for Friday 22 March 2019,NA,NA
93,Thursday 21 March 2019,XAU/GBP,996.72121,XAU GBP rate for Thursday 21 March 2019,NA,NA
94,Wednesday 20 March 2019,XAU/GBP,996.25145,XAU GBP rate for Wednesday 20 March 2019,NA,NA
95,Tuesday 19 March 2019,XAU/GBP,984.42929,XAU GBP rate for Tuesday 19 March 2019,NA,NA
96,Monday 18 March 2019,XAU/GBP,982.78806,XAU GBP rate for Monday 18 March 2019,NA,NA
97,Sunday 17 March 2019,XAU/GBP,978.22743,XAU GBP rate for Sunday 17 March 2019,NA,NA
98,Saturday 16 March 2019,XAU/GBP,979.55023,XAU GBP rate for Saturday 16 March 2019,NA,NA
99,Friday 15 March 2019,XAU/GBP,979.55023,XAU GBP rate for Friday 15 March 2019,NA,NA
100,Thursday 14 March 2019,XAU/GBP,977.71467,XAU GBP rate for Thursday 14 March 2019,NA,NA
101,Wednesday 13 March 2019,XAU/GBP,985.55742,XAU GBP rate for Wednesday 13 March 2019,NA,NA
102,Tuesday 12 March 2019,XAU/GBP,996.63584,XAU GBP rate for Tuesday 12 March 2019,NA,NA
103,Monday 11 March 2019,XAU/GBP,975.97279,XAU GBP rate for Monday 11 March 2019,NA,NA
104,Sunday 10 March 2019,XAU/GBP,999.14516,XAU GBP rate for Sunday 10 March 2019,NA,NA
105,Saturday  9 March 2019,XAU/GBP,997.59524,XAU GBP rate for Saturday  9 March 2019,NA,NA
106,Friday  8 March 2019,XAU/GBP,997.59524,XAU GBP rate for Friday  8 March 2019,NA,NA
107,Thursday  7 March 2019,XAU/GBP,982.43771,XAU GBP rate for Thursday  7 March 2019,NA,NA
108,Wednesday  6 March 2019,XAU/GBP,976.62844,XAU GBP rate for Wednesday  6 March 2019,NA,NA
109,Tuesday  5 March 2019,XAU/GBP,979.13484,XAU GBP rate for Tuesday  5 March 2019,NA,NA
110,Monday  4 March 2019,XAU/GBP,976.70686,XAU GBP rate for Monday  4 March 2019,NA,NA
111,Sunday  3 March 2019,XAU/GBP,978.53768,XAU GBP rate for Sunday  3 March 2019,NA,NA
112,Saturday  2 March 2019,XAU/GBP,979.5257,XAU GBP rate for Saturday  2 March 2019,NA,NA
113,Friday  1 March 2019,XAU/GBP,979.5257,XAU GBP rate for Friday  1 March 2019,NA,NA
114,Thursday 28 February 2019,XAU/GBP,990.75345,XAU GBP rate for Thursday 28 February 2019,NA,NA
115,Wednesday 27 February 2019,XAU/GBP,992.11868,XAU GBP rate for Wednesday 27 February 2019,NA,NA
116,Tuesday 26 February 2019,XAU/GBP,1002.60564,XAU GBP rate for Tuesday 26 February 2019,NA,NA
117,Monday 25 February 2019,XAU/GBP,1011.38952,XAU GBP rate for Monday 25 February 2019,NA,NA
118,Sunday 24 February 2019,XAU/GBP,1016.27668,XAU GBP rate for Sunday 24 February 2019,NA,NA
119,Saturday 23 February 2019,XAU/GBP,1017.24541,XAU GBP rate for Saturday 23 February 2019,NA,NA
120,Friday 22 February 2019,XAU/GBP,1017.24541,XAU GBP rate for Friday 22 February 2019,NA,NA
121,Thursday 21 February 2019,XAU/GBP,1016.80144,XAU GBP rate for Thursday 21 February 2019,NA,NA
122,Wednesday 20 February 2019,XAU/GBP,1027.82069,XAU GBP rate for Wednesday 20 February 2019,NA,NA
123,Tuesday 19 February 2019,XAU/GBP,1025.809,XAU GBP rate for Tuesday 19 February 2019,NA,NA
124,Monday 18 February 2019,XAU/GBP,1026.47228,XAU GBP rate for Monday 18 February 2019,NA,NA
125,Sunday 17 February 2019,XAU/GBP,1023.95409,XAU GBP rate for Sunday 17 February 2019,NA,NA
126,Saturday 16 February 2019,XAU/GBP,1025.24522,XAU GBP rate for Saturday 16 February 2019,NA,NA
127,Friday 15 February 2019,XAU/GBP,1025.24522,XAU GBP rate for Friday 15 February 2019,NA,NA
128,Thursday 14 February 2019,XAU/GBP,1025.2398,XAU GBP rate for Thursday 14 February 2019,NA,NA
129,Wednesday 13 February 2019,XAU/GBP,1017.41931,XAU GBP rate for Wednesday 13 February 2019,NA,NA
130,Tuesday 12 February 2019,XAU/GBP,1016.35663,XAU GBP rate for Tuesday 12 February 2019,NA,NA
131,Monday 11 February 2019,XAU/GBP,1016.6322,XAU GBP rate for Monday 11 February 2019,NA,NA
132,Sunday 10 February 2019,XAU/GBP,1015.47565,XAU GBP rate for Sunday 10 February 2019,NA,NA
133,Saturday  9 February 2019,XAU/GBP,1015.06521,XAU GBP rate for Saturday  9 February 2019,NA,NA
134,Friday  8 February 2019,XAU/GBP,1015.06521,XAU GBP rate for Friday  8 February 2019,NA,NA
135,Thursday  7 February 2019,XAU/GBP,1012.06299,XAU GBP rate for Thursday  7 February 2019,NA,NA
136,Wednesday  6 February 2019,XAU/GBP,1010.32203,XAU GBP rate for Wednesday  6 February 2019,NA,NA
137,Tuesday  5 February 2019,XAU/GBP,1015.01627,XAU GBP rate for Tuesday  5 February 2019,NA,NA
138,Monday  4 February 2019,XAU/GBP,1006.90822,XAU GBP rate for Monday  4 February 2019,NA,NA
139,Sunday  3 February 2019,XAU/GBP,1007.29517,XAU GBP rate for Sunday  3 February 2019,NA,NA
140,Saturday  2 February 2019,XAU/GBP,1007.26069,XAU GBP rate for Saturday  2 February 2019,NA,NA
141,Friday  1 February 2019,XAU/GBP,1007.26069,XAU GBP rate for Friday  1 February 2019,NA,NA
142,Thursday 31 January 2019,XAU/GBP,1007.82698,XAU GBP rate for Thursday 31 January 2019,NA,NA
143,Wednesday 30 January 2019,XAU/GBP,1005.83995,XAU GBP rate for Wednesday 30 January 2019,NA,NA
144,Tuesday 29 January 2019,XAU/GBP,1002.22482,XAU GBP rate for Tuesday 29 January 2019,NA,NA
145,Monday 28 January 2019,XAU/GBP,990.87414,XAU GBP rate for Monday 28 January 2019,NA,NA
146,Sunday 27 January 2019,XAU/GBP,984.36488,XAU GBP rate for Sunday 27 January 2019,NA,NA
147,Saturday 26 January 2019,XAU/GBP,987.20732,XAU GBP rate for Saturday 26 January 2019,NA,NA
148,Friday 25 January 2019,XAU/GBP,987.20732,XAU GBP rate for Friday 25 January 2019,NA,NA
149,Thursday 24 January 2019,XAU/GBP,976.86323,XAU GBP rate for Thursday 24 January 2019,NA,NA
150,Wednesday 23 January 2019,XAU/GBP,981.34077,XAU GBP rate for Wednesday 23 January 2019,NA,NA
151,Tuesday 22 January 2019,XAU/GBP,991.52902,XAU GBP rate for Tuesday 22 January 2019,NA,NA
152,Monday 21 January 2019,XAU/GBP,992.80486,XAU GBP rate for Monday 21 January 2019,NA,NA
153,Sunday 20 January 2019,XAU/GBP,997.97306,XAU GBP rate for Sunday 20 January 2019,NA,NA
154,Saturday 19 January 2019,XAU/GBP,995.48636,XAU GBP rate for Saturday 19 January 2019,NA,NA
155,Friday 18 January 2019,XAU/GBP,995.48636,XAU GBP rate for Friday 18 January 2019,NA,NA
156,Thursday 17 January 2019,XAU/GBP,995.45563,XAU GBP rate for Thursday 17 January 2019,NA,NA
157,Wednesday 16 January 2019,XAU/GBP,1003.30157,XAU GBP rate for Wednesday 16 January 2019,NA,NA
158,Tuesday 15 January 2019,XAU/GBP,1001.99668,XAU GBP rate for Tuesday 15 January 2019,NA,NA
159,Monday 14 January 2019,XAU/GBP,1003.2079,XAU GBP rate for Monday 14 January 2019,NA,NA
160,Sunday 13 January 2019,XAU/GBP,1002.56458,XAU GBP rate for Sunday 13 January 2019,NA,NA
161,Saturday 12 January 2019,XAU/GBP,1002.69016,XAU GBP rate for Saturday 12 January 2019,NA,NA
162,Friday 11 January 2019,XAU/GBP,1002.69016,XAU GBP rate for Friday 11 January 2019,NA,NA
163,Thursday 10 January 2019,XAU/GBP,1009.94586,XAU GBP rate for Thursday 10 January 2019,NA,NA
164,Wednesday  9 January 2019,XAU/GBP,1010.29035,XAU GBP rate for Wednesday  9 January 2019,NA,NA
165,Tuesday  8 January 2019,XAU/GBP,1008.96909,XAU GBP rate for Tuesday  8 January 2019,NA,NA
166,Monday  7 January 2019,XAU/GBP,1008.11463,XAU GBP rate for Monday  7 January 2019,NA,NA
167,Sunday  6 January 2019,XAU/GBP,1008.74172,XAU GBP rate for Sunday  6 January 2019,NA,NA
168,Saturday  5 January 2019,XAU/GBP,1009.47495,XAU GBP rate for Saturday  5 January 2019,NA,NA
169,Friday  4 January 2019,XAU/GBP,1009.47495,XAU GBP rate for Friday  4 January 2019,NA,NA
170,Thursday  3 January 2019,XAU/GBP,1025.75687,XAU GBP rate for Thursday  3 January 2019,NA,NA
171,Wednesday  2 January 2019,XAU/GBP,1027.50501,XAU GBP rate for Wednesday  2 January 2019,NA,NA
172,Tuesday  1 January 2019,XAU/GBP,1004.7758,XAU GBP rate for Tuesday  1 January 2019,NA,NA
173,Monday 31 December 2018,XAU/GBP,1005.95871,XAU GBP rate for Monday 31 December 2018,NA,NA
174,Sunday 30 December 2018,XAU/GBP,1008.56206,XAU GBP rate for Sunday 30 December 2018,NA,NA
175,Saturday 29 December 2018,XAU/GBP,1008.84098,XAU GBP rate for Saturday 29 December 2018,NA,NA
176,Friday 28 December 2018,XAU/GBP,1008.84098,XAU GBP rate for Friday 28 December 2018,NA,NA
177,Thursday 27 December 2018,XAU/GBP,1008.06251,XAU GBP rate for Thursday 27 December 2018,NA,NA
178,Wednesday 26 December 2018,XAU/GBP,1003.5223,XAU GBP rate for Wednesday 26 December 2018,NA,NA
179,Tuesday 25 December 2018,XAU/GBP,998.78621,XAU GBP rate for Tuesday 25 December 2018,NA,NA
180,Monday 24 December 2018,XAU/GBP,999.24811,XAU GBP rate for Monday 24 December 2018,NA,NA
181,Sunday 23 December 2018,XAU/GBP,995.28041,XAU GBP rate for Sunday 23 December 2018,NA,NA
182,Saturday 22 December 2018,XAU/GBP,993.01297,XAU GBP rate for Saturday 22 December 2018,NA,NA
183,Friday 21 December 2018,XAU/GBP,993.01297,XAU GBP rate for Friday 21 December 2018,NA,NA
184,Thursday 20 December 2018,XAU/GBP,996.24259,XAU GBP rate for Thursday 20 December 2018,NA,NA
185,Wednesday 19 December 2018,XAU/GBP,985.38724,XAU GBP rate for Wednesday 19 December 2018,NA,NA
186,Tuesday 18 December 2018,XAU/GBP,987.52144,XAU GBP rate for Tuesday 18 December 2018,NA,NA
187,Monday 17 December 2018,XAU/GBP,987.53245,XAU GBP rate for Monday 17 December 2018,NA,NA
188,Sunday 16 December 2018,XAU/GBP,983.05516,XAU GBP rate for Sunday 16 December 2018,NA,NA
189,Saturday 15 December 2018,XAU/GBP,984.2856,XAU GBP rate for Saturday 15 December 2018,NA,NA
190,Friday 14 December 2018,XAU/GBP,984.2856,XAU GBP rate for Friday 14 December 2018,NA,NA
191,Thursday 13 December 2018,XAU/GBP,981.97739,XAU GBP rate for Thursday 13 December 2018,NA,NA
192,Wednesday 12 December 2018,XAU/GBP,987.1479,XAU GBP rate for Wednesday 12 December 2018,NA,NA
193,Tuesday 11 December 2018,XAU/GBP,995.1611,XAU GBP rate for Tuesday 11 December 2018,NA,NA
194,Monday 10 December 2018,XAU/GBP,990.54136,XAU GBP rate for Monday 10 December 2018,NA,NA
195,Sunday  9 December 2018,XAU/GBP,982.05083,XAU GBP rate for Sunday  9 December 2018,NA,NA
196,Saturday  8 December 2018,XAU/GBP,979.72194,XAU GBP rate for Saturday  8 December 2018,NA,NA
197,Friday  7 December 2018,XAU/GBP,979.72194,XAU GBP rate for Friday  7 December 2018,NA,NA
198,Thursday  6 December 2018,XAU/GBP,968.26794,XAU GBP rate for Thursday  6 December 2018,NA,NA
199,Wednesday  5 December 2018,XAU/GBP,973.09477,XAU GBP rate for Wednesday  5 December 2018,NA,NA
200,Tuesday  4 December 2018,XAU/GBP,974.04195,XAU GBP rate for Tuesday  4 December 2018,NA,NA
201,Monday  3 December 2018,XAU/GBP,967.59883,XAU GBP rate for Monday  3 December 2018,NA,NA
202,Sunday  2 December 2018,XAU/GBP,958.5312,XAU GBP rate for Sunday  2 December 2018,NA,NA
203,Saturday  1 December 2018,XAU/GBP,958.04999,XAU GBP rate for Saturday  1 December 2018,NA,NA
204,Friday 30 November 2018,XAU/GBP,958.04999,XAU GBP rate for Friday 30 November 2018,NA,NA
205,Thursday 29 November 2018,XAU/GBP,957.77727,XAU GBP rate for Thursday 29 November 2018,NA,NA
206,Wednesday 28 November 2018,XAU/GBP,952.23242,XAU GBP rate for Wednesday 28 November 2018,NA,NA
207,Tuesday 27 November 2018,XAU/GBP,953.22984,XAU GBP rate for Tuesday 27 November 2018,NA,NA
208,Monday 26 November 2018,XAU/GBP,954.31185,XAU GBP rate for Monday 26 November 2018,NA,NA
209,Sunday 25 November 2018,XAU/GBP,955.31552,XAU GBP rate for Sunday 25 November 2018,NA,NA
210,Saturday 24 November 2018,XAU/GBP,954.54581,XAU GBP rate for Saturday 24 November 2018,NA,NA
211,Friday 23 November 2018,XAU/GBP,954.54581,XAU GBP rate for Friday 23 November 2018,NA,NA
212,Thursday 22 November 2018,XAU/GBP,953.36122,XAU GBP rate for Thursday 22 November 2018,NA,NA
213,Wednesday 21 November 2018,XAU/GBP,959.43397,XAU GBP rate for Wednesday 21 November 2018,NA,NA
214,Tuesday 20 November 2018,XAU/GBP,955.42417,XAU GBP rate for Tuesday 20 November 2018,NA,NA
215,Monday 19 November 2018,XAU/GBP,952.13113,XAU GBP rate for Monday 19 November 2018,NA,NA
216,Sunday 18 November 2018,XAU/GBP,952.62621,XAU GBP rate for Sunday 18 November 2018,NA,NA
217,Saturday 17 November 2018,XAU/GBP,952.1779,XAU GBP rate for Saturday 17 November 2018,NA,NA
218,Friday 16 November 2018,XAU/GBP,952.1779,XAU GBP rate for Friday 16 November 2018,NA,NA
219,Thursday 15 November 2018,XAU/GBP,951.036,XAU GBP rate for Thursday 15 November 2018,NA,NA
220,Wednesday 14 November 2018,XAU/GBP,932.73082,XAU GBP rate for Wednesday 14 November 2018,NA,NA
221,Tuesday 13 November 2018,XAU/GBP,924.478,XAU GBP rate for Tuesday 13 November 2018,NA,NA
222,Monday 12 November 2018,XAU/GBP,935.34146,XAU GBP rate for Monday 12 November 2018,NA,NA
223,Sunday 11 November 2018,XAU/GBP,935.87281,XAU GBP rate for Sunday 11 November 2018,NA,NA
224,Saturday 10 November 2018,XAU/GBP,932.02608,XAU GBP rate for Saturday 10 November 2018,NA,NA
225,Friday  9 November 2018,XAU/GBP,932.02608,XAU GBP rate for Friday  9 November 2018,NA,NA
226,Thursday  8 November 2018,XAU/GBP,936.14343,XAU GBP rate for Thursday  8 November 2018,NA,NA
227,Wednesday  7 November 2018,XAU/GBP,934.10197,XAU GBP rate for Wednesday  7 November 2018,NA,NA
228,Tuesday  6 November 2018,XAU/GBP,936.38398,XAU GBP rate for Tuesday  6 November 2018,NA,NA
229,Monday  5 November 2018,XAU/GBP,942.8834,XAU GBP rate for Monday  5 November 2018,NA,NA
230,Sunday  4 November 2018,XAU/GBP,948.92742,XAU GBP rate for Sunday  4 November 2018,NA,NA
231,Saturday  3 November 2018,XAU/GBP,951.28508,XAU GBP rate for Saturday  3 November 2018,NA,NA
232,Friday  2 November 2018,XAU/GBP,951.28508,XAU GBP rate for Friday  2 November 2018,NA,NA
233,Thursday  1 November 2018,XAU/GBP,948.32837,XAU GBP rate for Thursday  1 November 2018,NA,NA
234,Wednesday 31 October 2018,XAU/GBP,952.56391,XAU GBP rate for Wednesday 31 October 2018,NA,NA
235,Tuesday 30 October 2018,XAU/GBP,962.22027,XAU GBP rate for Tuesday 30 October 2018,NA,NA
