"","open","high","low","close","volume","adjusted_close"
"X2018.08.15",222.740005,236.210007,202.770004,228.669998,97277,228.669998
"X2018.08.16",228.669998,251.580002,219.350006,237.529999,61368,237.529999
"X2018.08.17",244.880005,252.649994,210.960007,237.059998,64215,237.059998
"X2018.08.18",237.059998,243.600006,211.910004,231.25,62858,231.25
"X2018.08.19",232.139999,241.470001,208.539993,213.320007,46113,213.320007
"X2018.08.20",213.320007,227.139999,205.660004,214.25,61471,214.25
"X2018.08.21",214.25,233.059998,203.330002,207.220001,77101,207.220001
"X2018.08.22",207.220001,222.289993,201.100006,217.380005,56407,217.380005
"X2018.08.23",217.380005,223.220001,196.270004,220.339996,48210,220.339996
"X2018.08.24",220.339996,229.169998,199.929993,218.539993,49664,218.539993
"X2018.08.25",218.539993,218.610001,200.720001,212.470001,48833,212.470001
"X2018.08.26",212.470001,222.839996,198.050003,216.259995,59093,216.259995
"X2018.08.27",216.259995,236.270004,205.970001,231.089996,85783,231.089996
"X2018.08.28",231.089996,233.740005,202.550003,219.149994,76747,219.149994
"X2018.08.29",219.149994,225.830002,196.300003,210.960007,85156,210.960007
"X2018.08.30",210.960007,222.139999,198.800003,219.759995,56206,219.759995
"X2018.08.31",219.759995,234.649994,204.529999,222.070007,78427,222.070007
"X2018.09.01",222.070007,235.369995,203.910004,223.610001,88652,223.610001
"X2018.09.02",223.610001,246.789993,203.820007,223.190002,76876,223.190002
"X2018.09.03",223.190002,234.419998,209.509995,223.309998,63403,223.309998
"X2018.09.04",223.309998,251.889999,175.690002,177.690002,606280,177.690002
"X2018.09.05",177.690002,179.759995,163.720001,178.5,1184478,178.5
"X2018.09.06",178.5,181.199997,165.490005,166.550003,484805,166.550003
"X2018.09.07",166.550003,172.610001,147.600006,152.330002,641791,152.330002
"X2018.09.08",152.330002,160.690002,142.940002,151.960007,556495,151.960007
"X2018.09.09",151.960007,156.529999,143.910004,150.910004,602225,150.910004
"X2018.09.10",150.910004,152.839996,135.610001,141.380005,723056,141.380005
"X2018.09.11",141.389999,141.619995,128.899994,140.350006,234718,140.350006
"X2018.09.12",140.350006,163.809998,136.710007,160.630005,753686,160.630005
"X2018.09.13",160.630005,170.110001,147.039993,159.960007,732934,159.960007
"X2018.09.14",159.960007,174,142.460007,146.75,909042,146.75
"X2018.09.15",146.75,170.690002,143.160004,162.940002,699367,162.940002
"X2018.09.16",162.940002,171.949997,141.850006,149.330002,1489520,149.330002
"X2018.09.17",149.350006,163.279999,146.300003,159.070007,556913,159.070007
"X2018.09.18",159.169998,163.779999,149.339996,159.779999,1286453,159.779999
"X2018.09.19",159.779999,172.869995,156.919998,169.839996,731767,169.839996
"X2018.09.20",169.839996,192.910004,166.860001,190.429993,1112619,190.429993
"X2018.09.21",190.429993,193.839996,178.699997,185.279999,814135,185.279999
"X2018.09.22",185.279999,190.509995,181.160004,188.270004,701719,188.270004
"X2018.09.23",188.270004,190.779999,172.210007,174.460007,647466,174.460007
"X2018.09.24",174.460007,177.089996,154.910004,166.809998,1390221,166.809998
"X2018.09.25",166.809998,169.759995,158.570007,164.179993,806307,164.179993
"X2018.09.26",164.179993,179.809998,161.240005,175.210007,1243694,175.210007
"X2018.09.27",175.210007,180.100006,166.050003,174.419998,1107585,174.419998
"X2018.09.28",174.419998,183.279999,165.949997,179.729996,1182432,179.729996
"X2018.09.29",179.729996,184.649994,174.229996,178.369995,1335559,178.369995
"X2018.09.30",178.369995,180.919998,172.130005,177.520004,843672,177.520004
"X2018.10.01",177.520004,178.699997,172.570007,174.320007,696066,174.320007
"X2018.10.02",174.320007,174.589996,165.529999,169.440002,920769,169.440002
"X2018.10.03",169.440002,174.800003,168.940002,169.970001,571639,169.970001
"X2018.10.04",169.970001,176.479996,167.279999,175.190002,695292,175.190002
"X2018.10.05",175.190002,176.520004,167.509995,173.830002,317383,173.830002
"X2018.10.06",173.830002,175.449997,165.699997,171.679993,358298,171.679993
"X2018.10.07",171.679993,177.800003,170.350006,175.190002,909585,175.190002
"X2018.10.08",175.190002,176.190002,171.699997,172.699997,416009,172.699997
"X2018.10.09",172.699997,173.399994,168.690002,170.380005,579812,170.380005
"X2018.10.10",170.380005,170.380005,142.199997,144.360001,2785609,144.360001
"X2018.10.11",144.360001,152.710007,143.119995,150.050003,978035,150.050003
"X2018.10.12",150.050003,157.699997,150,154.380005,533522,154.380005
"X2018.10.13",154.380005,155.979996,146.820007,149.029999,558141,149.029999
"X2018.10.14",149.029999,180.580002,146.690002,161.149994,4115921,161.149994
"X2018.10.15",161.149994,164.690002,154.779999,159.259995,678352,159.259995
"X2018.10.16",159.259995,160.389999,155.529999,157.910004,695171,157.910004
"X2018.10.17",157.910004,160.449997,152.429993,156.059998,715998,156.059998
