"","date","GBPEUR","GBPUSD","GBPJPY","GBPEURLOG","GBPUSDLOG","GBPJPYLOG"
"160","2012-08-09",1.2712,1.563111,122.864998,0.00409901251838479,-0.00250404186121395,0.000366306456393239
"161","2012-08-12",1.276,1.566907,122.595001,0.0037688486822289,0.0024255463457884,-0.00219992756450438
"162","2012-08-13",1.2716,1.56789,122.769997,-0.00345423486808752,0.000627153868157704,0.00142641396366905
"163","2012-08-14",1.2716,1.567644,123.527,0,-0.000156911071928834,0.0061470938983712
"164","2012-08-15",1.2756,1.568135,123.832001,0.00314070609925493,0.000313159826641263,0.00246606069185162
"165","2012-08-16",1.2731,1.573564,124.68,-0.001961785068303,0.00345609519176232,0.00682463855210269
"166","2012-08-19",1.2719,1.568874,124.735001,-0.000943025610160797,-0.00298494575376551,0.000441040039059537
"167","2012-08-20",1.2716,1.571092,124.620003,-0.000235895420791138,0.0014127543858144,-0.000922363748937727
"168","2012-08-21",1.2645,1.577909,124.989998,-0.00559916292662788,0.00432963384205531,0.00296458691159174
"169","2012-08-22",1.267,1.58836,124.760002,0.00197511421111918,0.00660148455748455,-0.00184181033046826
"170","2012-08-23",1.2621,1.585791,124.630997,-0.00387490105655411,-0.00161870091305649,-0.0010345602850439
"171","2012-08-26",1.2635,1.580303,124.425003,0.00110864756366408,-0.00346673566631189,-0.00165419862980976
"172","2012-08-27",1.263,1.57928,124.330002,-0.000395804477757916,-0.000647553829570269,-0.000763811804460168
"173","2012-08-28",1.2586,1.582604,124.300003,-0.00348985125765788,0.00210254470090121,-0.000241314399246129
"174","2012-08-29",1.2628,1.582779,124.596001,0.00333148559100338,0.000110571137949711,0.00237848848343525
"175","2012-08-30",1.2617,1.579031,123.970001,-0.00087145975014094,-0.002370795054429,-0.00503690221873399
"176","2012-09-02",1.2615,1.587302,124.209999,-0.000158528852583106,0.00522435183682762,0.00193406458869738
"177","2012-09-03",1.2614,1.588058,124.389999,-7.92738515615898e-05,0.000476166490907648,0.00144810967742171
"178","2012-09-04",1.2656,1.586546,124.489998,0.00332410278383857,-0.000952559824361487,0.000803592145505405
"179","2012-09-05",1.2618,1.590584,124.720001,-0.00300704507668034,0.00254191813003768,0.00184585743933408
"180","2012-09-06",1.261,1.593372,125.660004,-0.000634215971789642,0.00175128093011512,0.00750864603924661
"181","2012-09-09",1.251,1.60082,125.209999,-0.00796182549800845,0.00466347263923983,-0.00358755911245456
"182","2012-09-10",1.253,1.599207,125.080002,0.00159744442915716,-0.00100811657939598,-0.0010387711148665
"183","2012-09-11",1.2502,1.6072,124.93,-0.00223713739835624,0.00498565313551985,-0.00119996813566914
"184","2012-09-12",1.2481,1.610825,125.309998,-0.00168114357330396,0.00225293559452766,0.00303707077303716
"185","2012-09-13",1.2429,1.615509,125.398003,-0.00417503617294226,0.00290360718442328,0.000702051815368421
"186","2012-09-16",1.2369,1.622586,127.072998,-0.00483910937050164,0.00437109551637033,0.0132690057010159
"187","2012-09-17",1.239,1.624695,127.751999,0.00169635324817843,0.00129893304369416,0.00532916797774075
"188","2012-09-18",1.245,1.624431,127.910004,0.00483092726966552,-0.000162505240228317,0.00123604617238904
"189","2012-09-19",1.2427,1.623113,127.222,-0.00184909808685924,-0.000811690355765893,-0.00539333095758465
"190","2012-09-20",1.2501,1.622192,126.838997,0.00593711628456864,-0.000567589194066798,-0.00301504988694923
"191","2012-09-23",1.2516,1.623113,126.769997,0.00119918469820965,0.000567589194066798,-0.000544144753025222
"192","2012-09-24",1.2535,1.622586,126.317001,0.00151690580362102,-0.000324737447699952,-0.00357976891212886
"193","2012-09-25",1.255,1.619433,125.860001,0.00119593396753603,-0.00194508483391159,-0.00362444232947734
"194","2012-09-26",1.2558,1.617861,125.639999,0.000637247114124911,-0.000971181563094559,-0.00174951933292711
"195","2012-09-27",1.2568,1.623298,125.970001,0.000795988261402258,0.00335497585884736,0.00262312459141256
"196","2012-09-30",1.2589,1.612487,125.667999,0.00166951583080216,-0.00668217463596166,-0.00240029045689472
"197","2012-10-01",1.2512,1.612903,125.839996,-0.00613523298116678,0.000257953303201608,0.00136772611791169
"198","2012-10-02",1.2489,1.613163,126.128998,-0.00183992692200735,0.000161187031240462,0.00229394991934839
"199","2012-10-03",1.2457,1.610047,126.293999,-0.00256554297699235,-0.00193347685736905,0.00130733748875311
"200","2012-10-04",1.2433,1.618647,127.054001,-0.00192848593315509,0.00532724398078749,0.00599968643736126
"201","2012-10-07",1.2396,1.613892,126.985001,-0.00298038804529874,-0.00294196198690794,-0.000543223687335725
"202","2012-10-08",1.2353,1.603412,125.494003,-0.0034748913708251,-0.00651479441573705,-0.0118110045522055
"203","2012-10-09",1.2437,1.599693,125.079002,0.00677695211692728,-0.00232212285963118,-0.00331241890524669
"204","2012-10-10",1.2444,1.600768,124.945,0.00056267836378654,0.000671778247213539,-0.00107191319040378
"205","2012-10-11",1.2405,1.604596,125.738998,-0.00313896189162627,0.00238849741862029,0.00633467362470785
"206","2012-10-14",1.2412,1.60591,125.977997,0.000564129442369554,0.000818562602511841,0.00189895061967871
"207","2012-10-15",1.2399,1.608105,126.68,-0.00104792238842882,0.00136589302866413,0.00555695695215519
"208","2012-10-16",1.2303,1.613007,127.167999,-0.00777268911967316,0.00304367174088832,0.00384481739529896
"209","2012-10-17",1.2302,1.61371,127.540001,-8.12842918553325e-05,0.000435737011409976,0.00292100966206466
"210","2012-10-18",1.2284,1.605703,127.32,-0.00146424820760063,-0.00497420896889977,-0.00172644631391083
"211","2012-10-21",1.2283,1.599795,126.757004,-8.14100216185998e-05,-0.00368617087875445,-0.00443170308664431
"212","2012-10-22",1.2255,1.602282,128.110992,-0.00228217557688135,0.00155336708023179,0.010625113856678
"213","2012-10-23",1.229,1.594896,127.294998,0.0028519065978676,-0.00462033276806362,-0.00638980140119649
"214","2012-10-24",1.2361,1.603155,127.989998,0.00576043132774254,0.00516503230300058,0.00544490845875067
"215","2012-10-25",1.2455,1.611811,129.279999,0.00757579380845771,0.00538482890086361,0.0100284667961574
"216","2012-10-29",1.2446,1.609528,128.100006,-0.000722862567117705,-0.00141742324060223,-0.00916933129654218
"217","2012-10-30",1.2417,1.603078,127.861,-0.00233278471232101,-0.00401543710402419,-0.00186751937882068
"218","2012-10-31",1.2399,1.607459,128.061996,-0.00145067723700007,0.00272914015270065,0.00157075405076856
"219","2012-11-01",1.2442,1.613424,128.802002,0.00346202189512301,0.00370395746733693,0.00576186661467215
"220","2012-11-02",1.2459,1.613424,129.399994,0.00136540722389816,0,0.00463197867123277
"221","2012-11-05",1.2489,1.602102,128.929993,0.00240500356422182,-0.00704211179719233,-0.00363876856923007
"222","2012-11-06",1.2485,1.598466,128.119995,-0.00032033314921151,-0.0022720976802964,-0.00630228141467448
"223","2012-11-07",1.2483,1.599232,128.360001,-0.000160205062822605,0.000479094657876877,0.00187153831720188
"224","2012-11-08",1.2523,1.59821,127.772003,0.00319923491298149,-0.000639261031039118,-0.00459137494548756
"225","2012-11-09",1.2535,1.59775,126.975998,0.000957778028361389,-0.00028786342956505,-0.0062493726154127
"226","2012-11-12",1.249,1.589421,126.269997,-0.00359640747277037,-0.00522659057856556,-0.00557562877936846
"227","2012-11-13",1.2492,1.587806,126.349998,0.000160115283345835,-0.00101660985449969,0.00063337031318067
"228","2012-11-14",1.2487,1.587806,126.120003,-0.00040033628782421,0,-0.00182195954142728
"229","2012-11-15",1.244,1.584108,127,-0.00377101582197464,-0.00233171622904738,0.00695322799486142
"230","2012-11-16",1.2407,1.586546,128.669998,-0.00265625785029897,0.00153785337692958,0.0130638851946685
"231","2012-11-19",1.2461,1.590559,129.585007,0.00434293749999609,0.0025262005090439,0.00708611884429367
"232","2012-11-20",1.2443,1.589421,129.292999,-0.00144555116723638,-0.000715727802426402,-0.00225595158395464
